Order_ID;Order Date;Order_YearQuarter;Order_YearMonth;Retailer_ID;Product_SKU;Product_Price;Product_Cost;Order_Quantity;Sales_Amount;Cost_of_Goods_Sold;Profit;Profit_Margin
1;01/01/2020;2020Q1;202001;99;MH01-S-Gray;£38,00;£14,00;29;£1102,00;£406,00; £696,00 ;63%
2;01/01/2020;2020Q1;202001;477;MH01-S-Orange;£33,00;£8,58;29;£957,00;£248,82; £708,18 ;74%
3;01/01/2020;2020Q1;202001;399;MH01-XL-Black;£36,00;£20,25;12;£432,00;£243,00; £189,00 ;44%
4;01/01/2020;2020Q1;202001;131;MH01-XL-Gray;£37,00;£18,57;8;£296,00;£148,56; £147,44 ;50%
5;01/01/2020;2020Q1;202001;682;MH01-XL-Orange;£37,00;£13,14;4;£148,00;£52,56; £95,44 ;64%
6;01/01/2020;2020Q1;202001;626;MH01-XS-Black;£43,00;£9,98;4;£172,00;£39,92; £132,08 ;77%
7;01/01/2020;2020Q1;202001;369;MH01-XS-Gray;£27,00;£12,96;12;£324,00;£155,52; £168,48 ;52%
8;01/01/2020;2020Q1;202001;760;MH01-XS-Orange;£26,00;£18,45;15;£390,00;£276,75; £113,25 ;29%
9;01/01/2020;2020Q1;202001;199;MH02-S-Blue;£20,00;£17,37;12;£240,00;£208,44; £31,56 ;13%
10;01/01/2020;2020Q1;202001;616;MH02-L-Black;£36,00;£14,38;49;£1764,00;£704,62; £1059,38 ;60%
11;02/01/2020;2020Q1;202001;506;MH02-L-Purple;£39,00;£14,42;42;£1638,00;£605,64; £1032,36 ;63%
12;02/01/2020;2020Q1;202001;288;MH02-L-Red;£43,00;£20,59;17;£731,00;£350,03; £380,97 ;52%
13;02/01/2020;2020Q1;202001;539;MH02-M-Black;£36,00;£11,70;3;£108,00;£35,10; £72,90 ;68%
14;03/01/2020;2020Q1;202001;584;MH02-M-Purple;£44,00;£15,62;23;£1012,00;£359,26; £652,74 ;65%
15;03/01/2020;2020Q1;202001;203;MH02-M-Red;£38,00;£15,80;11;£418,00;£173,80; £244,20 ;58%
16;03/01/2020;2020Q1;202001;768;MH02-S-Black;£36,00;£13,68;25;£900,00;£342,00; £558,00 ;62%
17;03/01/2020;2020Q1;202001;677;MH02-S-Purple;£25,00;£13,87;29;£725,00;£402,23; £322,77 ;45%
18;03/01/2020;2020Q1;202001;49;MH02-S-Red;£27,00;£22,80;6;£162,00;£136,80; £25,20 ;16%
19;03/01/2020;2020Q1;202001;440;MH02-XL-Black;£39,00;£16,30;43;£1677,00;£700,90; £976,10 ;58%
20;03/01/2020;2020Q1;202001;581;MH02-XL-Purple;£40,00;£17,93;21;£840,00;£376,53; £463,47 ;55%
21;03/01/2020;2020Q1;202001;454;MH02-XL-Red;£44,00;£22,88;5;£220,00;£114,40; £105,60 ;48%
22;03/01/2020;2020Q1;202001;379;MH02-XS-Black;£26,00;£16,12;43;£1118,00;£693,16; £424,84 ;38%
23;03/01/2020;2020Q1;202001;86;MH02-XS-Purple;£38,00;£18,62;48;£1824,00;£893,76; £930,24 ;51%
24;03/01/2020;2020Q1;202001;382;MH02-XS-Red;£23,00;£10,43;6;£138,00;£62,58; £75,42 ;55%
25;03/01/2020;2020Q1;202001;119;MH03-S-Red;£36,00;£17,32;24;£864,00;£415,68; £448,32 ;52%
26;03/01/2020;2020Q1;202001;752;MH03-L-Black;£42,00;£14,28;49;£2058,00;£699,72; £1358,28 ;66%
27;03/01/2020;2020Q1;202001;776;MH03-L-Blue;£37,00;£14,69;41;£1517,00;£602,29; £914,71 ;60%
28;03/01/2020;2020Q1;202001;360;MH03-L-Green;£35,00;£11,95;33;£1155,00;£394,35; £760,65 ;66%
29;04/01/2020;2020Q1;202001;570;MH03-M-Black;£28,00;£16,16;2;£56,00;£32,32; £23,68 ;42%
30;04/01/2020;2020Q1;202001;542;MH03-M-Blue;£45,00;£16,14;23;£1035,00;£371,22; £663,78 ;64%
31;04/01/2020;2020Q1;202001;677;MH03-M-Green;£24,00;£17,55;30;£720,00;£526,50; £193,50 ;27%
32;04/01/2020;2020Q1;202001;67;MH03-S-Black;£34,00;£21,80;1;£34,00;£21,80; £12,20 ;36%
33;04/01/2020;2020Q1;202001;89;MH03-S-Blue;£30,00;£14,18;46;£1380,00;£652,28; £727,72 ;53%
34;04/01/2020;2020Q1;202001;33;MH03-S-Green;£45,00;£23,91;19;£855,00;£454,29; £400,71 ;47%
35;04/01/2020;2020Q1;202001;257;MH03-XL-Black;£39,00;£18,63;34;£1326,00;£633,42; £692,58 ;52%
36;04/01/2020;2020Q1;202001;282;MH03-XL-Blue;£37,00;£18,29;29;£1073,00;£530,41; £542,59 ;51%
37;04/01/2020;2020Q1;202001;327;MH03-XL-Green;£34,00;£13,43;17;£578,00;£228,31; £349,69 ;61%
38;04/01/2020;2020Q1;202001;295;MH03-XS-Black;£35,00;£11,93;27;£945,00;£322,11; £622,89 ;66%
39;04/01/2020;2020Q1;202001;664;MH03-XS-Blue;£40,00;£16,24;46;£1840,00;£747,04; £1092,96 ;59%
40;04/01/2020;2020Q1;202001;189;MH03-XS-Green;£22,00;£12,26;23;£506,00;£281,98; £224,02 ;44%
41;04/01/2020;2020Q1;202001;149;MH04-S-Red;£38,00;£13,47;6;£228,00;£80,82; £147,18 ;65%
42;05/01/2020;2020Q1;202001;161;MH04-L-Green;£20,00;£12,29;30;£600,00;£368,70; £231,30 ;39%
43;05/01/2020;2020Q1;202001;416;MH04-L-White;£22,00;£8,91;46;£1012,00;£409,86; £602,14 ;60%
44;05/01/2020;2020Q1;202001;647;MH04-L-Yellow;£40,00;£15,28;34;£1360,00;£519,52; £840,48 ;62%
45;05/01/2020;2020Q1;202001;468;MH04-M-Green;£41,00;£20,50;7;£287,00;£143,50; £143,50 ;50%
46;05/01/2020;2020Q1;202001;112;MH04-M-White;£39,00;£22,62;6;£234,00;£135,72; £98,28 ;42%
47;05/01/2020;2020Q1;202001;762;MH04-M-Yellow;£42,00;£16,75;11;£462,00;£184,25; £277,75 ;60%
48;05/01/2020;2020Q1;202001;616;MH04-S-Green;£31,00;£16,63;3;£93,00;£49,89; £43,11 ;46%
49;05/01/2020;2020Q1;202001;106;MH01-L-Orange;£35,00;£14,35;2;£70,00;£28,70; £41,30 ;59%
50;05/01/2020;2020Q1;202001;82;MH04-S-White;£45,00;£20,55;3;£135,00;£61,65; £73,35 ;54%
51;06/01/2020;2020Q1;202001;410;MH04-S-Yellow;£23,00;£18,22;25;£575,00;£455,50; £119,50 ;21%
