Product_SKU;Product_Full_Description;Product_Gender;Product_Category;Product_Name;Product_Size;Product_Color
MH01-S-Blue;Chaz Kangeroo Hoodie-S-Blue;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;S;Blue
MH01-L-Black;Chaz Kangeroo Hoodie-L-Black;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;L;Black
MH01-L-Gray;Chaz Kangeroo Hoodie-L-Gray;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;L;Gray
MH01-L-Orange;Chaz Kangeroo Hoodie-L-Orange;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;L;Orange
MH01-M-Black;Chaz Kangeroo Hoodie-M-Black;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;M;Black
MH01-M-Gray;Chaz Kangeroo Hoodie-M-Gray;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;M;Gray
MH01-M-Orange;Chaz Kangeroo Hoodie-M-Orange;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;M;Orange
MH01-S-Black;Chaz Kangeroo Hoodie-S-Black;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;S;Black
MH01-S-Gray;Chaz Kangeroo Hoodie-S-Gray;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;S;Gray
MH01-S-Orange;Chaz Kangeroo Hoodie-S-Orange;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;S;Orange
MH01-XL-Black;Chaz Kangeroo Hoodie-XL-Black;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;XL;Black
MH01-XL-Gray;Chaz Kangeroo Hoodie-XL-Gray;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;XL;Gray
MH01-XL-Orange;Chaz Kangeroo Hoodie-XL-Orange;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;XL;Orange
MH01-XS-Black;Chaz Kangeroo Hoodie-XS-Black;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;XS;Black
MH01-XS-Gray;Chaz Kangeroo Hoodie-XS-Gray;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;XS;Gray
MH01-XS-Orange;Chaz Kangeroo Hoodie-XS-Orange;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie;XS;Orange
MH02-S-Blue;Teton Pullover Hoodie-S-Blue;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;S;Blue
MH02-L-Black;Teton Pullover Hoodie-L-Black;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;L;Black
MH02-L-Purple;Teton Pullover Hoodie-L-Purple;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;L;Purple
MH02-L-Red;Teton Pullover Hoodie-L-Red;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;L;Red
MH02-M-Black;Teton Pullover Hoodie-M-Black;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;M;Black
MH02-M-Purple;Teton Pullover Hoodie-M-Purple;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;M;Purple
MH02-M-Red;Teton Pullover Hoodie-M-Red;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;M;Red
MH02-S-Black;Teton Pullover Hoodie-S-Black;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;S;Black
MH02-S-Purple;Teton Pullover Hoodie-S-Purple;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;S;Purple
MH02-S-Red;Teton Pullover Hoodie-S-Red;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;S;Red
MH02-XL-Black;Teton Pullover Hoodie-XL-Black;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;XL;Black
MH02-XL-Purple;Teton Pullover Hoodie-XL-Purple;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;XL;Purple
MH02-XL-Red;Teton Pullover Hoodie-XL-Red;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;XL;Red
MH02-XS-Black;Teton Pullover Hoodie-XS-Black;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie;XS;Black
